,TX_HASH,BLOCK_TIMESTAMP,AMOUNT,ORIGINCHAINID,DESTINATIONCHAINID,ORIGIN_FROM_ADDRESS,ORIGIN_TO_ADDRESS,CONTRACT_ADDRESS,ROWNUMBER,COUNTER
20,0xe5b9b3819a67128d7fa91b813fb62f8ddbb43152055eedba078243e07114788e,2022-07-22 02:49:36.000,51.0,137,42161,0x05d987577901933e6e6e11ddc8c3b3592addffc8,0x69b5c72837769ef1e7c164abc6515dcff217f920,0x69b5c72837769ef1e7c164abc6515dcff217f920,1,1
21,0x75fb2498f0b76dcca79220717791908ed7075e8fa2eb39ba702e1f190a7da7e1,2022-07-22 05:35:30.000,52.0,137,42161,0x05dcaa0657a159291bdd5b4e2f0514df4fbc9fbf,0x69b5c72837769ef1e7c164abc6515dcff217f920,0x69b5c72837769ef1e7c164abc6515dcff217f920,1,1
22,0x7f12621e64e523b4e35fbde68120be1cf69a77d34cdb2985797afef062068004,2022-07-22 03:50:08.000,51.0,137,42161,0x064145c2668c0c06df9a4d9878fdb8682f00eb69,0x69b5c72837769ef1e7c164abc6515dcff217f920,0x69b5c72837769ef1e7c164abc6515dcff217f920,1,1
23,0xd3d1120e79e76ff609491f50e034aec32027f47d835816f257f22eb2f9b01141,2022-07-22 05:19:18.000,54.153206,137,42161,0x0678e836c26abcfcd2b7e49559aa1a8b0f3ad36a,0x69b5c72837769ef1e7c164abc6515dcff217f920,0x69b5c72837769ef1e7c164abc6515dcff217f920,1,1
24,0x753c37228abfb542e903b50b80bcfded2d062da22696eb2a2bbf5ca357041bcc,2022-07-22 06:40:46.000,52.0,137,42161,0x0690adc3dea3dd819064c60f9eecc22e60991f2c,0x69b5c72837769ef1e7c164abc6515dcff217f920,0x69b5c72837769ef1e7c164abc6515dcff217f920,1,1
25,0x4d4c26d327d811603077383af23a3f340e308fbdbb07c98f8b63e536b920661d,2022-07-22 03:05:22.000,50.0,137,42161,0x0696cca4f346552e2a8b822ce9afa50413976a0f,0x69b5c72837769ef1e7c164abc6515dcff217f920,0x69b5c72837769ef1e7c164abc6515dcff217f920,1,1
26,0xb0f7d63e86362f73e59beca1b5b0dcd59b228e0ff474b03d85ee320c213a5d4e,2022-07-22 01:08:22.000,54.937145,137,42161,0x06f398ce76acc1fce97b7cab0eb2a96ba9230c9b,0x69b5c72837769ef1e7c164abc6515dcff217f920,0x69b5c72837769ef1e7c164abc6515dcff217f920,1,1
27,0x490c7cb46e4f2e4fe5598f542680346ae91fefe71239819f1133ad067a9e4e96,2022-07-22 07:35:08.000,53.243815,137,42161,0x06fffebd5ebd97329da366b80f11e7a4b858ee47,0x69b5c72837769ef1e7c164abc6515dcff217f920,0x69b5c72837769ef1e7c164abc6515dcff217f920,1,1
28,0x47a05e88120d2adedf8a34a0ee4b4e323924f4dba5ca4539f3408231971bbbf4,2022-07-22 08:24:12.000,51.967973,137,42161,0x06fffebd5ebd97329da366b80f11e7a4b858ee47,0x69b5c72837769ef1e7c164abc6515dcff217f920,0x69b5c72837769ef1e7c164abc6515dcff217f920,2,1
29,0xd3c5420a35eb50dabae97c75134308330be574824c902bfe3df1b106d34515fd,2022-07-22 08:32:36.000,51.131704,137,42161,0x06fffebd5ebd97329da366b80f11e7a4b858ee47,0x69b5c72837769ef1e7c164abc6515dcff217f920,0x69b5c72837769ef1e7c164abc6515dcff217f920,3,1
30,0xa1fa5f5e00ccbab59d5297b2824470033838e24fa27eabd57c7b1a7bd9628c7d,2022-07-22 04:04:08.000,50.0,137,42161,0x0772e49973d361898e65434709f7dadf36174129,0x69b5c72837769ef1e7c164abc6515dcff217f920,0x69b5c72837769ef1e7c164abc6515dcff217f920,1,1
31,0xac5033993049dd0bb0b4c233b331ae29d072bf0b2ab4393b3d99cb6ec0b094bc,2022-07-22 00:23:17.000,51.0,137,42161,0x07b4ef0e87ee263ef3b56d537b129c5a50c1041e,0x69b5c72837769ef1e7c164abc6515dcff217f920,0x69b5c72837769ef1e7c164abc6515dcff217f920,1,1
32,0x84f120788c1bee7b10a57343aeeaa4affd51a18f828bc82d0c2c08f0b3c39047,2022-07-22 06:11:18.000,55.0,137,42161,0x07d5244db3ec6578a8b660d0fb11ddd2205d82be,0x69b5c72837769ef1e7c164abc6515dcff217f920,0x69b5c72837769ef1e7c164abc6515dcff217f920,1,1
33,0xd5549e5f024c3fbbd682f056a26c2fac2dbf321549d75c50407c24cd06272a3f,2022-07-22 05:50:18.000,54.0,137,42161,0x0882d0bbd4499ae7808cec608e857c22e731ec04,0x69b5c72837769ef1e7c164abc6515dcff217f920,0x69b5c72837769ef1e7c164abc6515dcff217f920,1,1
